prompt,completion
华润城整体规划单位及其知名作品,"RTKL国际有限公司（RTKL International）。是世界上最大的建筑规划设计公司之一，从1946年创办至今，RTKL已经发展成目前有建筑、都市规划、结构工程、空调水电设备工程、室内设计、园景绿化设计、标志路牌系统设计等各种专业人才，提供多元性整体专业服务的世界性设计公司。
RTKL在中国的设计项目包括：中国电影博物馆；上海北外滩地区规划设计；北京国际展览体育中心规划设计；上海科技馆；北京世界金融中心；南通中央商务区CBD 总体规划设计等。"
公建区规划及设计单位,"公建区整体规划及展示中心设计单位：福斯特 (Foster)。参与的设计公司：RTKL、Foster、CCDI等。
福斯特公司于1967年由诺曼•福斯特创办。诺曼•福斯特是享誉世界的现代主义建筑大师，1999年的普利策奖得主，并于同年被英女皇授予爵士头衔。福斯特公司在世界各地完成了众多项目，获得超过470个奖项，赢得86个国际大赛奖项，代表作品包括：大英博物馆；美国苹果总部；香港国际机场 ；伦敦大英博物館 ；北京首都国际机场T3航站楼；伦敦瑞士再保险总部等。"
建筑施工单位与建筑设计单位,"建筑施工单位：中建三局。建筑设计单位：CCDI。
创立于1994年，是在世界城市建设和开发领域从事综合专业服务的大型工程实践咨询机构。其业务涵盖广泛的行业与不同的专业领域。我们拥有上海、北京、深圳、成都、悉尼、纽约、青岛、苏州等区域，在重庆、南京、天津、武汉、西安、昆明等国内主要城市设置分公司或办事处，建立遍布全国各地的服务网络。CCDI曾成功主持设计了国家游泳中心（水立方）、北京奥林匹克公园网球中心、平安国际金融中心、上海洛克菲勒外滩源、济南奥林匹克体育中心、杭州奥体博览中心、大梅沙•万科中心、深圳腾讯大厦、阿里巴巴深圳大厦、深圳百度国际大厦、哈尔滨西站站房及枢纽、北京昆仑公寓、深圳华润中心二期、天津港邮轮客运码头大厦、上海国际旅游度假区等各类型知名项目。据2015年美国《工程新闻记录》（ENR）的最新排行榜，CCDI已进入全球工程设计百强企业行列。"
万象天地园林设计单位及其曾设计过的知名作品,"James Corner Field Operations（JCFO）事务所
简介：该事务所在纽约和伦敦都有办公室，以其创意性、现代化设计干预措施而闻名，覆盖多种项目类型和规模，从大型城市规划到复杂的后工业区修复。该事务所致力于多样化、动态的公共区域设计，追求人与自然共存。
代表作品：高线公园； Freshkills公园；伊丽莎白女王奥运公园。"
精装修设计单位,"西塔：美国WILSON公司、东塔Kokai。简介：美国WILSON室内设计公司成立于1971年，由Trisha Wilson创建，是一家世界著名的室内建筑设计公司，为酒店、餐厅、俱乐部、赌场以及高档住宅提供室内设计服务。长期位列全球顶级酒店设计公司之列，设计的酒店项目荣获40多项金钥匙奖。公司没有所谓固定的设计风格，而是通过广泛的研究，为每位顾客打造量身设计，以此来满足每位业主和运营商的独特视野。设计师通过建筑细节和当地工匠装饰布置的结合赋予建筑生命，并由此来增强设计的地域韵味和附加价值，与此同时也制定了全球设计的标准。
KOKAI建筑设计顾问（上海）有限公司是一家涵盖建筑设计和室内设计在业界多次获奖的设计事务所，由意大利建筑师FilippoGabbiani 和Andrea Destefanis于2000年联合创立于威尼斯。经营范围有建筑工程设计咨询，室内设计咨询，景观美化设计咨询，家具设计咨询。"
广告公司是什么单位,"深圳市金马盟广告有限公司。简介：2004年创建于广东深圳市，主要产品及经营范围是广告设计，以稳定可靠的产品质量和良好的经营信誉，取得广大客户的信任。因拥有一批精干的管理人员和一支高素质的专业技术队伍，其诚信、实力和质量获得业界的认可。
深圳市金马盟广告有限公司的设计项目包括：华润悦府；东海国际中心；宝能城、深业上城；
美国兆华斯坦前海项目；深圳湾一号；华润银湖蓝山；中海九号公馆。"
项目区位,"华润城项目位于深圳市南山高新技术产业园区（以下简称“高新区”）中区东片的关内优势地段，同时也是规划中的南山“十二五”四大重点——“大沙河创新走廊”核心位置（下游），依托深南大道、沙河西路、地铁1号线（高新园）可快速抵达福田/南山中心和深圳湾口岸。
距福田中心区约13公里，距罗湖金融区约18公里；距南山主城区约3公里，距宝安主城区约5公里；距深圳湾口岸约4公里；距蛇口港约7公里；距宝安国际机场约 20公里；紧邻2个高尔夫球场（“沙河”及“名商”）；著名旅游景区“世界之窗”、“民俗文化村”、“欢乐谷”及欢乐海岸在项目东侧约5公里范围内。东邻沙河西路，南邻深南大道，北临北环，距滨海大道仅约4公里；未来地铁通道与地铁1号线高新园站直接相连（建设中）；润府一期项目内建1处公交首末站（已启用）；自驾车可通过深南大道、沙河西路、北环大道、铜鼓路多条城市干路顺畅的进入本项目。"
深圳市高新技术产业园区,"深圳高新区始建于1996年9月,规划面积11.5平方公里，是国家 “建设世界一流高科技园区”的六家试点园区之一，是“国家知识产权试点园区”、“国家高新技术产业标准化示范区”、“国家海外高层次人才创新创业基地”和“国家新型工业化产业示范基地”。高新区坚持自主创新，和谐发展，营造产业生态、人文生态、环境生态“三态合一”的综合环境，高新区已成为“创业的沃土、成功的家园”。
高新区，硅谷逻辑的东方演绎。截止至2017年年底，深圳共迎来350家上市企业，其中南山区占143家，并且有大量位于高新园区。大家比较熟悉的包括腾讯、中兴通讯、创维、甲骨文、大疆科技等知名企业，均入驻高新园区，在项目地块的南侧，深南大道一步之隔，排布了包括康佳、长虹、方大、迈瑞、飞亚达、TCL集团等世界级企业：中国最大的通讯制造商之一—中兴通讯、中国最大的企业管理软件供应商——金蝶、中国领先的超材料技术产品生产商——光启、中国最大的医疗器械企业——迈瑞、中国最大的激光器械企业——大族激光、中国最大的汽车电子企业——航盛、中国最大的通讯运营公司——腾讯、中国最大的特种计算机企业——研祥、被誉为“中国唯一能与苹果抗衡的公司”——大疆科技在高科技人才的集中度方面，目前高新园的就业人员数量约达60万人，其中包括8000多名博士、5万多名“海归”，到2020年就业人口有望达到100万，可谓看齐硅谷！产业造就深圳，时代造就财富，正是基于此，我们说“东方硅谷”对于深圳及粤港澳大湾区的现在和未来都至关重要，它是吸引全球资产的中心。
深圳经济引擎。高新科技园占地11.5平方公里，2016年工业总产值8800亿元，每平方公里产值772亿元，税收462亿元（相当于整个宝安区），3000多家的中大型企业，腾讯、百度、中兴通讯、大疆创新、大族激光、研祥计算机等，每万人发明专利拥有量314件，居全国首位，创新孵化能力更被省社科院评为全国第一，是人才及经济的聚集地，深圳的经济产出核心区。深圳土地狭小，仅有1952平方公里，只相当于内地一个县城的面积，在一个如此狭小的区域内发展经济，高新技术产业必然会是深圳最为仰仗的产业之一！
深圳产业高地。回顾深圳30年来的房地产发展，影响深圳的房价的是产业。产业造就深圳，深圳是中国的硅谷，是中国工资最高的产业密集地。而硅谷的核心，在南山高新园片区。我们看深圳楼市的未来，主要看深圳未来的产业所在。只要深圳继续依赖高科技、新互联网、智能科技、金融与地产服务业，深圳的高级产业与精英人士就会聚集在这些优势核心企业所在的地方，整个深圳就会以这些产业核心作为“中心点”。"
大沙河创新走廊,"华润城项目地处大沙河创新走廊的下游，属于南山市政府重点规划区域。
大沙河创新走廊是深圳市“十二五”规划的重大项目，目前已进入第二期开发阶段，大沙河创新走廊的规划范围覆盖大沙河全流域，包括西丽、桃源街道全部，粤海街道的滨海大道以北部分，沙河街道的深南大道以北部分，以及南头街道的马家龙片区。共计101平方公里。从大沙河源头福龙大道起，到滨海大道深圳湾入海口止，通过大沙河流域内旧城、旧村、旧工业区改造，在上游以大学城为核心建设知识创新高地，中游以留仙洞为核心建设产业创新高地，下游以深圳湾高新区为核心建设技术创新高地，连接成为深圳市建设国家核心技术自主创新先锋城市的核心区。
大沙河创新走廊未来将建成创新型企业总部、研发基地和创新型人才宜聚地，同时未来的大沙河流域将成为南山次级行政中心和商业文化中心。"
深圳名商高尔夫球会（来源于球会官网，具体信息以球会最新要求为准）,"深圳名商高尔夫球会于1996年6月28日开业，是符合国际标准的十八洞灯光高尔夫球场。球会位于深圳湾畔，坐落于深圳市深南大道黄金地段，交通便利，北眺塘朗山、南望深圳湾、毗邻风景优美的世界之窗、民族文化村等热门旅游点，不但可以充分享受高球之乐，也是商务或度假的最佳首选。
球会占地共50万平方米，由国际知名的澳洲高尔夫球场设计名师Lee Watts先生精心策划，球场的十八洞装置了全面照明系统，令夜间灯光如白昼，使人能在舒适的环境中享受打球之乐。练习场可提供教练服务，同时可以利用球场特制的移动镜子进行自我动作的检验。球会的配套功能包括高尔夫用品专卖店、更衣室、网球场、中医理疗室等，可以提供完善的服务。
入会条件：1）年满21岁或以上人士可以申请成为个人会员，申请人之合法配偶及18岁以下子女1 名均可成为附属会员；
2） 正式注册公司可以以公司名义申请公司会籍，各公司会员能登记一至两名雇员为会籍。"
